
[MarioAI] ~ Evaluation Results: Evaluation lasted: 178776 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 167; Time Left: 32; Coins: 143; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 1; kills: 29; By Fire: 0; By Shell: 0; By Stomp: 29; MEMO INFO: WIN;  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 85267 ms; Status: Loss; Mode: small;  Passed (Cells): 123;  Passed (Phys): 1968; Time Spent: 80; Time Left: 119; Coins: 70; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 14129 ms; Status: Loss; Mode: small;  Passed (Cells): 29;  Passed (Phys): 470; Time Spent: 13; Time Left: 186; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 191483 ms; Status: WIN!; Mode: FIRE;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 179; Time Left: 20; Coins: 136; Hidden blocks: 0; Mushrooms: 1; Flowers: 1; Collisions: 0; kills: 29; By Fire: 15; By Shell: 0; By Stomp: 14; MEMO INFO: WIN;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 9300 ms; Status: Loss; Mode: small;  Passed (Cells): 16;  Passed (Phys): 265; Time Spent: 8; Time Left: 191; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 54456 ms; Status: Loss; Mode: small;  Passed (Cells): 149;  Passed (Phys): 2385; Time Spent: 51; Time Left: 148; Coins: 55; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

