
[MarioAI] ~ Evaluation Results: Evaluation lasted: 29641 ms; Status: Loss; Mode: small;  Passed (Cells): 44;  Passed (Phys): 717; Time Spent: 36; Time Left: 164; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164997 ms; Status: Loss; Mode: small;  Passed (Cells): 47;  Passed (Phys): 759; Time Spent: 200; Time Left: 0; Coins: 20; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164998 ms; Status: Loss; Mode: small;  Passed (Cells): 47;  Passed (Phys): 763; Time Spent: 200; Time Left: 0; Coins: 16; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 0; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5279 ms; Status: Loss; Mode: small;  Passed (Cells): 29;  Passed (Phys): 478; Time Spent: 6; Time Left: 193; Coins: 9; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 9623 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 727; Time Spent: 11; Time Left: 188; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164998 ms; Status: Loss; Mode: Large;  Passed (Cells): 47;  Passed (Phys): 756; Time Spent: 200; Time Left: 0; Coins: 20; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164999 ms; Status: Loss; Mode: small;  Passed (Cells): 47;  Passed (Phys): 763; Time Spent: 200; Time Left: 0; Coins: 21; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 0; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164999 ms; Status: Loss; Mode: Large;  Passed (Cells): 46;  Passed (Phys): 745; Time Spent: 200; Time Left: 0; Coins: 21; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6929 ms; Status: Loss; Mode: small;  Passed (Cells): 42;  Passed (Phys): 680; Time Spent: 8; Time Left: 191; Coins: 13; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 27719 ms; Status: Loss; Mode: small;  Passed (Cells): 82;  Passed (Phys): 1326; Time Spent: 33; Time Left: 166; Coins: 42; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

