
[MarioAI] ~ Evaluation Results: Evaluation lasted: 5444 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 360; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 95204 ms; Status: Loss; Mode: small;  Passed (Cells): 169;  Passed (Phys): 2708; Time Spent: 115; Time Left: 84; Coins: 84; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 17; By Fire: 0; By Shell: 0; By Stomp: 17; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4948 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 342; Time Spent: 6; Time Left: 194; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4453 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 348; Time Spent: 5; Time Left: 194; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4783 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 363; Time Spent: 5; Time Left: 194; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

